run_family,scenario_name,mechanism,cohort_id,sponsor_id,entry_timestamp,num_outcomes,duration_steps,duration_bucket,clock_mode,split,nav,nav_per_deposit,nav_per_risk
adversarial,fpmm_compare_adv_0025,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,136.6895251592902591363797141,1.052581485267497099236890005,1.052581485267497099236890005
adversarial,fpmm_compare_adv_0025,reference_parallel_lmsr_reserve_residual,lp_late:3,lp_late,3,3,,,event_step,,23.75970792071044744791244364,1.015531056272199514254703037,1.015531056272199514254703037
adversarial,fpmm_compare_adv_0025,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,136.9529163234521736000662393,1.054609736243252574687451240,1.054609736243252574687451240
adversarial,fpmm_compare_adv_0025,fpmm_pool_share,lp_late:3,lp_late,3,3,,,event_step,,23.39633807746592004556816576,1.000000000000000000000000000,1.000000000000000000000000000
adversarial,fpmm_compare_adv_0030,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,121.2824123696891834978057637,0.9339385852730498843001617668,0.9339385852730498843001617668
adversarial,fpmm_compare_adv_0030,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,21.07746388087961992494312318,0.8888888888888888888888888890,0.8888888888888888888888888890
adversarial,fpmm_compare_adv_0030,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,118.5662968733031446350654507,0.9130230624485141864462597583,0.9130230624485141864462597583
adversarial,fpmm_compare_adv_0030,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,23.71214686598957241556101356,0.9999999999999999999999999994,0.9999999999999999999999999994
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,134.0601901474669612755835415,1.032334217974808749821358623,1.032334217974808749821358623
adversarial,fpmm_compare_adv_0031,reference_parallel_lmsr_reserve_residual,lp_late:4,lp_late,4,3,,,event_step,,23.29968610310184214716534540,0.9826055074127714517953806425,0.9826055074127714517953806425
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,creator:bootstrap,creator,1,3,,,event_step,,133.5662968733031446350654508,1.028530979098405028579838677,1.028530979098405028579838677
adversarial,fpmm_compare_adv_0031,fpmm_pool_share,lp_late:4,lp_late,4,3,,,event_step,,23.71214686598957241556101357,0.9999999999999999999999999998,0.9999999999999999999999999998
adversarial,fpmm_compare_adv_0038,reference_parallel_lmsr_reserve_residual,creator:bootstrap,creator,1,3,,,event_step,,112.6328877607596164750427553,0.8673326807670888103178930446,0.8673326807670888103178930446
